prod_category,sales,ad_expense,media,season,age,sex
air cleaner,20600,900,TV,spring,young,male
hair dryer,16500,240,onlline,spring,young,female
electric toothbrush,16000,48,radio,spring,young,male
air cleaner,18600,75,printing,spring,young,female
hair dryer,24900,1350,TV,summer,middle,female
electric toothbrush,21100,210,onlline,summer,middle,female
air cleaner,8600,24,radio,summer,middle,male
hair dryer,14200,240,printing,summer,middle,female
electric toothbrush,12300,90,TV,fall,senior,male
air cleaner,8500,6,onlline,fall,senior,female
hair dryer,16300,80,radio,fall,senior,male
electric toothbrush,16800,20,printing,fall,senior,female
air cleaner,15400,350,TV,winter,senior,male
hair dryer,19800,24,onlline,winter,young,female
electric toothbrush,16700,54,radio,winter,young,male
air cleaner,14300,189,printing,winter,young,female
hair dryer,11000,180,TV,spring,young,male
electric toothbrush,19000,24,onlline,spring,middle,female
air cleaner,19100,80,radio,spring,middle,male
hair dryer,14600,30,printing,spring,middle,male
electric toothbrush,8900,600,TV,summer,middle,male
air cleaner,8000,96,onlline,summer,senior,female
hair dryer,8400,21,radio,summer,senior,male
electric toothbrush,11500,270,printing,summer,senior,female
air cleaner,13900,300,TV,fall,senior,male
hair dryer,19300,70,onlline,fall,senior,female
electric toothbrush,7000,150,radio,fall,young,male
air cleaner,12000,168,printing,fall,young,female
hair dryer,18300,940,TV,winter,young,female
electric toothbrush,10700,36,onlline,winter,young,female
air cleaner,17300,80,radio,winter,middle,male
hair dryer,14400,80,printing,winter,middle,female
electric toothbrush,10100,60,TV,spring,middle,male
air cleaner,22700,8,onlline,spring,middle,female
hair dryer,15500,100,radio,spring,senior,male
electric toothbrush,17900,24,printing,spring,senior,female
air cleaner,19300,300,TV,summer,senior,male
hair dryer,12700,144,onlline,summer,senior,female
electric toothbrush,16100,30,radio,summer,senior,male
air cleaner,12300,270,printing,summer,young,female
hair dryer,22600,1350,TV,fall,young,male
electric toothbrush,13200,105,onlline,fall,young,female
air cleaner,11600,54,radio,fall,young,male
hair dryer,14000,60,printing,fall,middle,male
electric toothbrush,17800,120,TV,winter,middle,male
air cleaner,8600,50,onlline,winter,middle,female
hair dryer,18300,4,radio,winter,middle,male
electric toothbrush,15700,120,printing,winter,senior,female
air cleaner,7700,40,TV,spring,senior,male
hair dryer,13800,64,onlline,spring,senior,female
electric toothbrush,17800,42,radio,spring,senior,male
air cleaner,12800,24,printing,spring,senior,female
hair dryer,16400,810,TV,summer,young,female
electric toothbrush,10300,288,onlline,summer,young,female
air cleaner,23600,90,radio,summer,young,male
hair dryer,14700,200,printing,summer,young,female
electric toothbrush,12200,80,TV,fall,middle,male
air cleaner,14200,60,onlline,fall,middle,female
hair dryer,9400,42,radio,fall,middle,male
electric toothbrush,11600,24,printing,fall,middle,female
