"時点","サービス産業計（売上高）【百万円】","注記","（前年同月比）サービス産業計（売上高）【%】","注記"
"2013年1月","29182228","","",""
"2013年2月","29152282","","",""
"2013年3月","35506184","","",""
"2013年4月","30366902","","",""
"2013年5月","30415648","","",""
"2013年6月","30866326","","",""
"2013年7月","31457423","","",""
"2013年8月","31157998","","",""
"2013年9月","31918766","","",""
"2013年10月","31241742","","",""
"2013年11月","31096698","","",""
"2013年12月","32828136","","",""
"2014年1月","29969037","","2.7",""
"2014年2月","29704506","","1.9",""
"2014年3月","37711039","","6.2",""
"2014年4月","30485457","","0.4",""
"2014年5月","30832362","","1.4",""
"2014年6月","31835751","","3.1",""
"2014年7月","32080407","","2.0",""
"2014年8月","31414146","","0.8",""
"2014年9月","32751858","","2.6",""
"2014年10月","31561962","","1.0",""
"2014年11月","31362121","","0.9",""
"2014年12月","33477583","","2.0",""
"2015年1月","30411267","","1.5",""
"2015年2月","30550581","","2.8",""
"2015年3月","38905002","","3.2",""
"2015年4月","31282440","","2.6",""
"2015年5月","31426831","","1.9",""
"2015年6月","32604316","","2.4",""
"2015年7月","32472528","","1.2",""
"2015年8月","32248622","","2.7",""
"2015年9月","33667192","","2.8",""
"2015年10月","32426861","","2.7",""
"2015年11月","31908440","","1.7",""
"2015年12月","34466111","","3.0",""
"2016年1月","30581089","","0.6",""
"2016年2月","31119678","","1.9",""
"2016年3月","38998340","","0.2",""
"2016年4月","31343205","","0.2",""
"2016年5月","31223176","","-0.6",""
"2016年6月","32802813","","0.6",""
"2016年7月","32530197","","0.2",""
"2016年8月","32396861","","0.5",""
"2016年9月","33816544","","0.4",""
"2016年10月","32406836","","-0.1",""
"2016年11月","32213434","","1.0",""
"2016年12月","34941877","","1.4",""
"2017年1月","31211288","","2.1",""
"2017年2月","31343131","","0.7",""
"2017年3月","39866716","","2.2",""
"2017年4月","32286097","","3.0",""
"2017年5月","32220123","","3.2",""
"2017年6月","33390164","","1.8",""
"2017年7月","32941897","","1.3",""
"2017年8月","33006247","","1.9",""
"2017年9月","34245678","","1.3",""
"2017年10月","32881420","","1.5",""
"2017年11月","33009642","","2.5",""
"2017年12月","35459905","","1.5",""
"2018年1月","31773240","","1.8",""
"2018年2月","31760818","","1.3",""
"2018年3月","40225082","","0.9",""
"2018年4月","32773622","","1.5",""
"2018年5月","32397369","","0.6",""
"2018年6月","33822107","","1.3",""
"2018年7月","33419330","","1.4",""
"2018年8月","33401025","","1.2",""
"2018年9月","34339111","","0.3",""
"2018年10月","33902892","","3.1",""
"2018年11月","33749372","","2.2",""
"2018年12月","35975789","","1.5",""
"2019年1月","32207265","","1.4",""
"2019年2月","32422690","","2.1",""
"2019年3月","40914778","","1.7",""
"2019年4月","33254643","","1.5",""
"2019年5月","32678073","","0.9",""
"2019年6月","33920675","","0.3",""
"2019年7月","33810383","","1.2",""
"2019年8月","33529074","","0.4",""
"2019年9月","35716456","","4.0",""
"2019年10月","33166362","","-2.2",""
"2019年11月","33417832","","-1.0",""
"2019年12月","36217900","","0.7",""
"2020年1月","32247284","","0.1",""
"2020年2月","32246484","","-0.5",""
"2020年3月","37883350","","-7.4",""
"2020年4月","26493574","","-20.3",""
"2020年5月","25086393","","-23.2",""
"2020年6月","29521481","","-13.0",""
"2020年7月","29431667","","-13.0",""
"2020年8月","29172229","","-13.0",""
"2020年9月","31565443","","-11.6",""
"2020年10月","31168604","","-6.0",""
"2020年11月","30881651","","-7.6",""
"2020年12月","33497759","","-7.5",""
"2021年1月","28679524","","-11.1",""
"2021年2月","28831314","","-10.6",""
"2021年3月","37355320","","-1.4",""
"2021年4月","29899078","","12.9",""
"2021年5月","28595990","","14.0",""
"2021年6月","30453838","","3.2",""
"2021年7月","30270267","","2.8",""
"2021年8月","29283845","","0.4",""
"2021年9月","31134873","","-1.4",""
"2021年10月","30604130","","-1.8",""
"2021年11月","31191028","","1.0",""
"2021年12月","34190725","","2.1",""
"2022年1月","29870639","","4.2",""
"2022年2月","29332148","","1.7",""
"2022年3月","37999828","","1.7",""
"2022年4月","31370804","","4.9",""
"2022年5月","30981056","","8.3",""
"2022年6月","32738260","","7.5",""
"2022年7月","31945276","","5.5",""
"2022年8月","31368893","","7.1",""
"2022年9月","33590563","","7.9",""
"2022年10月","32633383","","6.6",""
"2022年11月","32535069","","4.3",""
"2022年12月","35524178","","3.9",""
"2023年1月","31398910","","5.1",""
"2023年2月","31460708","","7.3",""
"2023年3月","40518964","","6.6",""
"2023年4月","32704265","","4.3",""
"2023年5月","32323207","","4.3",""
"2023年6月","34002908","","3.9",""
"2023年7月","33227441","","4.0",""
"2023年8月","33086603","","5.5",""
"2023年9月","35278491","","5.0",""
"2023年10月","34143972","","4.6",""
"2023年11月","33780282","","3.8",""
"2023年12月","37060536","","4.3",""
"2024年1月","32422400","","3.3",""
"2024年2月","33169554","","5.4",""
"2024年3月","40996098","","1.2",""
"2024年4月","33859267","","3.5",""
"2024年5月","33534849","","3.7",""
"2024年6月","34793410","","2.3",""
"2024年7月","34617859","","4.2",""
