"時点","総人口（総数）【人】","注記","日本人人口（総数）【人】","注記"
"1975年10月","111939643","総務省統計局「国勢調査」による。","",""
"1975年11月","112041000","","",""
"1975年12月","112135000","","",""
"1976年1月","112175000","","",""
"1976年2月","112310000","","",""
"1976年3月","112373000","","",""
"1976年4月","112467000","","",""
"1976年5月","112553000","","",""
"1976年6月","112687000","","",""
"1976年7月","112775000","","",""
"1976年8月","112824000","","",""
"1976年9月","112987000","","",""
"1976年10月","113094000","","",""
"1976年11月","113193000","","",""
"1976年12月","113281000","","",""
"1977年1月","113310000","","",""
"1977年2月","113442000","","",""
"1977年3月","113497000","","",""
"1977年4月","113574000","","",""
"1977年5月","113645000","","",""
"1977年6月","113781000","","",""
"1977年7月","113872000","","",""
"1977年8月","113916000","","",""
"1977年9月","114069000","","",""
"1977年10月","114165000","","",""
"1977年11月","114267000","","",""
"1977年12月","114352000","","",""
"1978年1月","114376000","","",""
"1978年2月","114503000","","",""
"1978年3月","114555000","","",""
"1978年4月","114637000","","",""
"1978年5月","114704000","","",""
"1978年6月","114832000","","",""
"1978年7月","114913000","","",""
"1978年8月","114953000","","",""
"1978年9月","115096000","","",""
"1978年10月","115190000","","",""
"1978年11月","115277000","","",""
"1978年12月","115354000","","",""
"1979年1月","115378000","","",""
"1979年2月","115519000","","",""
"1979年3月","115564000","","",""
"1979年4月","115641000","","",""
"1979年5月","115691000","","",""
"1979年6月","115815000","","",""
"1979年7月","115890000","","",""
"1979年8月","115914000","","",""
"1979年9月","116064000","","",""
"1979年10月","116155000","","",""
"1979年11月","116257000","","",""
"1979年12月","116319000","","",""
"1980年1月","116332000","","",""
"1980年2月","116462000","","",""
"1980年3月","116500000","","",""
"1980年4月","116565000","","",""
"1980年5月","116627000","","",""
"1980年6月","116732000","","",""
"1980年7月","116807000","","",""
"1980年8月","116829000","","",""
"1980年9月","116970000","","",""
"1980年10月","117060396","総務省統計局「国勢調査」による。","",""
"1980年11月","117136000","","",""
"1980年12月","117213000","","",""
"1981年1月","117201000","","",""
"1981年2月","117337000","","",""
"1981年3月","117365000","","",""
"1981年4月","117427000","","",""
"1981年5月","117493000","","",""
"1981年6月","117593000","","",""
"1981年7月","117661000","","",""
"1981年8月","117681000","","",""
"1981年9月","117815000","","",""
"1981年10月","117902000","","",""
"1981年11月","117964000","","",""
"1981年12月","118038000","","",""
"1982年1月","118048000","","",""
"1982年2月","118173000","","",""
"1982年3月","118188000","","",""
"1982年4月","118249000","","",""
"1982年5月","118303000","","",""
"1982年6月","118407000","","",""
"1982年7月","118480000","","",""
"1982年8月","118504000","","",""
"1982年9月","118647000","","",""
"1982年10月","118728000","","",""
"1982年11月","118810000","","",""
"1982年12月","118877000","","",""
"1983年1月","118885000","","",""
"1983年2月","119004000","","",""
"1983年3月","119011000","","",""
"1983年4月","119078000","","",""
"1983年5月","119131000","","",""
"1983年6月","119240000","","",""
"1983年7月","119307000","","",""
"1983年8月","119325000","","",""
"1983年9月","119456000","","",""
"1983年10月","119536000","","",""
"1983年11月","119608000","","",""
"1983年12月","119669000","","",""
"1984年1月","119672000","","",""
"1984年2月","119797000","","",""
"1984年3月","119803000","","",""
"1984年4月","119869000","","",""
"1984年5月","119916000","","",""
"1984年6月","120021000","","",""
"1984年7月","120083000","","",""
"1984年8月","120104000","","",""
"1984年9月","120220000","","",""
"1984年10月","120305000","","",""
"1984年11月","120371000","","",""
"1984年12月","120441000","","",""
"1985年1月","120429000","","",""
"1985年2月","120557000","","",""
"1985年3月","120566000","","",""
"1985年4月","120628000","","",""
"1985年5月","120678000","","",""
"1985年6月","120781000","","",""
"1985年7月","120837000","","",""
"1985年8月","120844000","","",""
"1985年9月","120956000","","",""
"1985年10月","121048923","総務省統計局「国勢調査」による。","",""
"1985年11月","121112000","","",""
"1985年12月","121168000","","",""
"1986年1月","121121000","","",""
"1986年2月","121244000","","",""
"1986年3月","121232000","","",""
"1986年4月","121310000","","",""
"1986年5月","121348000","","",""
"1986年6月","121431000","","",""
"1986年7月","121482000","","",""
"1986年8月","121467000","","",""
"1986年9月","121577000","","",""
"1986年10月","121660000","","",""
"1986年11月","121704000","","",""
"1986年12月","121771000","","",""
"1987年1月","121718000","","",""
"1987年2月","121865000","","",""
"1987年3月","121825000","","",""
"1987年4月","121891000","","",""
"1987年5月","121941000","","",""
"1987年6月","122033000","","",""
"1987年7月","122069000","","",""
